rollout/ep_len 	steps  	wall_time             	bin
          30.0 	    16 	   0.0                	    
          30.0 	    56 	   0.4579879601796468 	   0
          30.0 	    66 	   0.5742088715235393 	   0
          30.0 	    72 	   0.6439260919888814 	   0
          30.0 	    81 	   0.748355217774709  	   0
          30.0 	   151 	   1.54090313911438   	   0
          30.0 	   175 	   1.8001316865285237 	   0
          30.0 	   188 	   1.9457438508669536 	   0
          16.0 	   227 	   2.4022388299306234 	   0
          30.0 	   252 	   2.6942241628964743 	   0
          30.0 	   305 	   3.325793250401815  	   0
          30.0 	   324 	   3.529972994327545  	   0
          30.0 	   522 	   5.818662106990814  	   0
          30.0 	   530 	   5.903163770834605  	   0
          30.0 	   606 	   6.781724294026692  	   0
          30.0 	   615 	   6.888312311967214  	   0
          12.0 	   653 	   7.31351322333018   	   0
          30.0 	   666 	   7.4667017738024395 	   0
          30.0 	   757 	   8.537300221125285  	   0
          30.0 	   765 	   8.630753898620606  	   0
          30.0 	   785 	   8.868676793575286  	   0
          30.0 	   817 	   9.23646708726883   	   0
          30.0 	   843 	   9.545355141162872  	   0
          30.0 	   847 	   9.5922860066096    	   0
          30.0 	   849 	   9.615335090955098  	   0
          30.0 	   884 	  10.022840960820515  	   0
          20.0 	   921 	  10.460285039742788  	   0
          30.0 	   983 	  11.18010866244634   	   0
          30.0 	  1057 	  12.044487086931865  	   0
          27.0 	  1092 	  12.44869060118993   	   0
          30.0 	  1178 	  13.437288959821066  	   0
          30.0 	  1222 	  13.953162503242492  	   0
          30.0 	  1237 	  14.12751229206721   	   0
          30.0 	  1353 	  15.453307370344797  	   0
          30.0 	  1391 	  15.889639294147491  	   0
          30.0 	  1410 	  16.103478972117106  	   0
          30.0 	  1483 	  16.92428776025772   	   0
          30.0 	  1520 	  17.342139784495036  	   0
          30.0 	  1577 	  17.986923229694366  	   0
          30.0 	  1628 	  18.55225098133087   	   0
          15.0 	  1634 	  18.61170703570048   	   0
          30.0 	  1690 	  19.25042716662089   	   0
          30.0 	  1697 	  19.329015191396078  	   0
          30.0 	  1704 	  19.404547981421153  	   0
          30.0 	  1770 	  20.143145616849264  	  20
          30.0 	  1864 	  21.182987662156425  	  20
          30.0 	  1867 	  21.218299849828085  	  20
          30.0 	  1901 	  21.597903021176656  	  20
          30.0 	  1917 	  21.769704461097717  	  20
          30.0 	  1926 	  21.879201292991638  	  20
          30.0 	  2029 	  23.023660635948183  	  20
          30.0 	  2064 	  23.42411216100057   	  20
          30.0 	  2117 	  24.024078985055286  	  20
          30.0 	  2123 	  24.09408110777537   	  20
          30.0 	  2153 	  24.43434185584386   	  20
          30.0 	  2169 	  24.597488685448965  	  20
          30.0 	  2275 	  25.7519468386968    	  20
          30.0 	  2344 	  26.51824963092804   	  20
          30.0 	  2388 	  27.022747250398     	  20
           9.0 	  2390 	  27.03794616063436   	  20
          30.0 	  2425 	  27.42157635688782   	  20
          30.0 	  2475 	  27.98605585495631   	  20
          23.0 	  2502 	  28.28329806725184   	  20
          30.0 	  2514 	  28.407391766707104  	  20
          30.0 	  2529 	  28.578869585196177  	  20
          30.0 	  2585 	  29.20809241135915   	  20
          30.0 	  2601 	  29.38811052640279   	  20
          30.0 	  2603 	  29.41101840734482   	  20
          30.0 	  2628 	  29.693493024508157  	  20
          30.0 	  2763 	  31.16127953529358   	  20
          30.0 	  2860 	  32.20484904845556   	  20
          30.0 	  3005 	  33.83644779125849   	  20
          30.0 	  3008 	  33.87227093378703   	  20
          30.0 	  3144 	  35.311797789732616  	  20
          30.0 	  3160 	  35.49503240982691   	  20
          17.0 	  3166 	  35.5599280277888    	  20
          27.0 	  3328 	  37.27251565059026   	  20
          30.0 	  3334 	  37.33416210412979   	  20
          30.0 	  3342 	  37.426251633961996  	  20
          30.0 	  3370 	  37.721524357795715  	  20
          30.0 	  3381 	  37.83346962531407   	  20
          30.0 	  3398 	  38.01336183945338   	  20
          30.0 	  3417 	  38.2241259932518    	  20
          30.0 	  3435 	  38.410479470094046  	  20
          30.0 	  3490 	  38.9781111240387    	  20
          30.0 	  3531 	  39.42353678941727   	  20
          30.0 	  3540 	  39.52698782682419   	  20
          30.0 	  3543 	  39.54736712773641   	  20
          15.0 	  3603 	  40.16612590154012   	  40
          30.0 	  3639 	  40.57187211513519   	  40
          30.0 	  3645 	  40.63964610099792   	  40
          30.0 	  3663 	  40.83048802614212   	  40
          30.0 	  3677 	  40.98484691381454   	  40
          30.0 	  3700 	  41.228896919886274  	  40
          30.0 	  3703 	  41.263882076740266  	  40
          18.0 	  3711 	  41.35009305477142   	  40
          30.0 	  3715 	  41.39663108587265   	  40
          30.0 	  3719 	  41.43895492553711   	  40
          15.0 	  3739 	  41.648978126049045  	  40
          25.0 	  3789 	  42.17998367547989   	  40
          30.0 	  3812 	  42.42154800891876   	  40
          30.0 	  3923 	  43.61551624536514   	  40
          30.0 	  3945 	  43.82661780913671   	  40
          30.0 	  3980 	  44.21327523390452   	  40
          30.0 	  3997 	  44.38107538620631   	  40
          30.0 	  4049 	  44.91327174901962   	  40
          30.0 	  4058 	  45.00806756814321   	  40
          30.0 	  4060 	  45.03077625830968   	  40
          30.0 	  4113 	  45.593353712558745  	  40
          30.0 	  4137 	  45.861444012324014  	  40
          30.0 	  4153 	  46.037791160742444  	  40
          30.0 	  4173 	  46.24507055679957   	  40
          19.0 	  4252 	  47.07626439730326   	  40
          30.0 	  4257 	  47.13535455465317   	  40
          22.0 	  4377 	  48.422893623510994  	  40
          30.0 	  4404 	  48.71837218205134   	  40
          30.0 	  4490 	  49.61824409564336   	  40
          30.0 	  4527 	  50.03764818906784   	  40
          30.0 	  4529 	  50.05609245300293   	  40
          30.0 	  4549 	  50.258713312943776  	  40
          30.0 	  4582 	  50.62188781897227   	  40
          30.0 	  4650 	  51.376247735818225  	  40
          30.0 	  4703 	  51.92102155685425   	  40
          30.0 	  4740 	  52.34775882562001   	  40
          30.0 	  4744 	  52.394864777723946  	  40
          30.0 	  4750 	  52.44284762144089   	  40
          30.0 	  4769 	  52.63488217989604   	  40
          30.0 	  4778 	  52.724306460221605  	  40
          30.0 	  4783 	  52.78109557231267   	  40
          30.0 	  4832 	  53.30768505732218   	  40
